Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,season_code,agro_zone,crop_category,monsoon_dependent,irrigation_intensity,fertilizer_per_ha,pesticide_per_ha,input_intensity,rainfall_efficiency,yield_log,area_log,production_log,fertilizer_log,rainfall_log,year_normalized,year_squared,decade,State_encoded,Crop_encoded,Season_encoded,agro_zone_encoded,crop_category_encoded,year_bin
Onion,2013,Rabi       ,Gujarat,68688.0,2095709,1006.5,9924729.12,18545.76,30.73391304,,North_Western_Plains,spices,0,0.65,144.48999999999998,0.26999999999999996,144.76,2080.108188585608,3.457385921029578,11.137344348942108,14.555402956071985,16.110540192228274,6.915227293820838,0.6956521739130435,0.48393194706994325,1,7,31,2,6,7,late
Other Kharif pulses,2017,Kharif     ,Kerala,1785.0,1614,2664.8,281030.4,678.3,1.017692308,,West_Coast,others,0,0.65,157.44000000000003,0.37999999999999995,157.82,0.605446770200315,0.7019544365697427,7.487733761436444,7.387090235656757,12.546221685845255,7.888259479169918,0.8695652173913043,0.7561436672967864,2,13,34,1,9,4,late
Bajra,1997,Kharif     ,Uttar Pradesh,864228.0,1252811,473.9,82248578.76,267910.68,1.324,,Central_Plains,cereals,0,0.85,95.17,0.31,95.48000000000002,2638.05222152032,0.8432898389896648,13.669593058963924,14.040901182716864,18.22525668010505,6.163104255555076,0.0,0.0,0,27,2,1,0,1,early
Maize,1998,Rabi       ,Karnataka,49922.0,101605,1260.8,4932293.6,14477.38,1.97952381,,Southern_Plateau,cereals,0,0.45,98.8,0.29,99.08999999999999,80.52385481058805,1.0917634924466701,10.818237097391455,11.528857867500944,15.411314873842564,7.140294551936709,0.043478260869565216,0.0018903591682419658,0,12,24,2,8,1,early
Sugarcane,2006,Whole Year ,Goa,1120.0,58279,2928.8,143035.2,246.4,55.455,,West_Coast,cash_crops,0,0.45,127.71000000000001,0.22,127.93,19.891801488156187,4.033443860632485,7.02197642307216,10.97301426030914,11.870853024058933,7.98268944029567,0.391304347826087,0.15311909262759926,0,6,46,4,9,0,mid
Barley,2018,Rabi       ,Sikkim,786.0,844,3350.1,127489.2,275.1,1.113333333,,Other,cereals,0,0.45,162.2,0.35000000000000003,162.55,0.25185759899734417,0.7482664796232962,6.668228248417403,6.739336627357174,11.755794777881428,8.11704392913031,0.9130434782608695,0.8336483931947068,2,23,4,2,7,1,late
Sesamum,2017,Rabi       ,Meghalaya,2373.0,2208,4472.3,373605.12,901.74,1.037272727,,Other,oilseeds,0,0.45,157.44,0.38,157.82,0.4935953323050097,0.7116120148805962,7.772331575169614,7.700295203420117,12.830957366358971,8.405881670264971,0.8695652173913043,0.7561436672967864,2,17,43,2,7,3,late
Maize,2001,Whole Year ,Sikkim,8000.0,4000,2372.5,817040.0,2080.0,0.5,,Other,cereals,0,0.45,102.13,0.26,102.39,1.6852749104697704,0.4054651081081644,8.987321812850125,8.294299608857235,13.613444556181516,7.772120937991373,0.17391304347826086,0.030245746691871453,0,23,24,4,7,1,early
Turmeric,2008,Whole Year ,Haryana,51.0,500,715.6,7295.04,4.59,5.2725,,North_Western_Plains,spices,0,0.85,143.04,0.09,143.13,0.6977393245883338,1.8361749992584402,3.9512437185814275,6.2166061010848646,8.89508701419528,6.574517804870854,0.4782608695652174,0.2287334593572779,1,8,51,4,6,7,mid
Rice,2002,Kharif     ,Nagaland,150000.0,223400,1536.6,14200500.0,37500.0,1.46375,,North_Eastern,cereals,0,0.45,94.67,0.25,94.92,145.2913631633715,0.901684579484793,11.918397239722838,12.316723641882957,16.468787803639245,7.337978038216028,0.21739130434782608,0.04725897920604915,0,19,40,1,5,1,early
